变更类型,报文ID(HEX),报文名称,信号名称,变更字段,旧值,新值
信号-修改,0x3FA,PSCU_Sts2_100ms_GW,PsngSeatPosChng,值表,"{0: 'No Command', 1: 'No change', 2: 'Changed', 3: 'Invalid'}","{0: 'No change', 1: 'Changed', 2: 'Reserved', 3: 'Reserved'}"
信号-修改,0x505,PZCU_BodySts5_100ms,PZCU_PsngSeatPosChng,值表,"{0: 'No Command', 1: 'No change', 2: 'Changed', 3: 'Invalid'}","{0: 'No change', 1: 'Changed', 2: 'Reserved', 3: 'Reserved'}"
信号-修改,0x51A,BZCU_BodySts_100ms,DrEasyEntCfg,值表,"{0: 'Active', 1: 'Inactive'}","{0: 'Inactive', 1: 'Active'}"
信号-修改,0x51A,BZCU_BodySts_100ms,SecLEasyEntCfg,值表,"{0: 'Active', 1: 'Inactive'}","{0: 'Inactive', 1: 'Active'}"
信号-修改,0x51A,BZCU_BodySts_100ms,SecREasyEntCfg,值表,"{0: 'Active', 1: 'Inactive'}","{0: 'Inactive', 1: 'Active'}"
报文-修改,0x522,RRSCU_Sts11_100ms_GW,,属性.GenMsgStartDelayTime,0.0,65.0
信号-新增,0x522,RRSCU_Sts11_100ms_GW,PsngSeatMovReq,定义,,"起始位=63,长度=4,字节序=Motorola(大端),因子=1.0,偏移=0.0"
报文-修改,0x531,TM_SysSts_100ms_GW,,属性.GenMsgStartDelayTime,0.0,80.0
信号-修改,0x53C,PZCU_LIN_100ms,PsngSeatTableSwSts,值表,"{0: 'Normal', 1: 'Open', 2: 'Retract', 3: 'valid'}","{0: 'Normal', 1: 'short press', 2: 'long press', 3: 'Invalid'}"
报文-修改,0x557,RRSCU_Sts6_100ms_GW,,属性.GenMsgStartDelayTime,0.0,75.0
报文-修改,0x565,RLSCU_Sts6_100ms_GW,,属性.GenMsgStartDelayTime,0.0,75.0
信号-新增,0x5A0,CCU_VehSts_1000ms,OBDDiagDeviceActivated,定义,,"起始位=13,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
